YEAR,COUNTYFIPS,COUNTY,STATE,lon,lat,ACS_TOT_CIVIL_EMPLOY_POP,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_UNINSURED,HIFLD_MIN_DIST_UC,POS_MIN_DIST_ED,POS_MIN_DIST_ALC,albumin_urine,bun,creatinine_serum,creatinine_urine,color_ACS_PCT_HH_PUB_ASSIST,color_ACS_TOT_CIVIL_EMPLOY_POP,color_ACS_PCT_LT_HS,color_ACS_PCT_UNINSURED,color_HIFLD_MIN_DIST_UC,color_ACS_PCT_GRANDP_NO_RESPS,color_albu_urine,color_bun,color_crea_serum,color_crea_urine
2020,72083,Las Marías,Puerto Rico,-66.98,18.235,2189.0,47.23,20.05,53.69,62.51,22.73,14.24,0.52,51.82,11.47,15.15,0.0,2.0,35.31,36.07,28.62,2.96,16.38,5.83,18.09,0.0,0.0,0.0,0.0,13356003,4128893,16579581,4128893,16119033,5515151,"rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)"
2020,72085,Las Piedras,Puerto Rico,-65.865,18.185,11009.0,47.2,18.28,23.48,53.6,20.33,18.02,8.06,45.02,30.37,17.47,2.15,6.49,24.45,21.22,54.33,6.94,10.32,2.17,16.58,33.80983480662984,16.460317235805213,0.9078042911570082,133.65854214123007,7694254,13356003,6241433,13356003,12369372,5515151,"rgb(127,39,4)","rgb(253,208,162)","rgb(253,141,60)","rgb(191,63,2)"
2020,72087,Loíza,Puerto Rico,-65.89,18.42,7455.0,75.14,20.79,44.2,65.35,13.87,17.15,3.62,52.56,20.31,13.59,5.84,2.4,39.28,24.42,36.3,9.39,2.01,4.11,10.0,8.754301412872843,16.163141237600378,0.8948283649503163,143.47389140271494,13356003,9407425,9407425,16119033,5515151,16119033,"rgb(253,174,107)","rgb(254,219,184)","rgb(253,191,134)","rgb(127,39,4)"
2020,72089,Luquillo,Puerto Rico,-65.72,18.35,5680.0,48.33,14.95,32.89,56.69,20.4,19.32,3.59,45.21,22.57,16.3,7.02,5.39,34.34,21.39,44.27,8.71,10.55,3.62,23.78,10.742953125,16.778661567877627,0.9036075770426916,143.4722111269615,7694254,6967715,6241433,16119033,13356003,6241433,"rgb(241,105,19)","rgb(253,174,107)","rgb(253,157,83)","rgb(127,39,4)"
2020,72091,Manatí,Puerto Rico,-66.49,18.43,10587.0,66.55,19.29,37.37,59.77,15.54,19.37,5.32,41.59,21.46,17.81,5.79,5.62,29.66,25.46,44.88,7.94,0.27,0.27,19.78,6.649529187124933,16.740510364321608,0.8998527593570866,126.92334020618556,6241433,12369372,10394312,15000560,4128893,15000560,"rgb(254,219,184)","rgb(253,191,134)","rgb(253,174,107)","rgb(247,123,39)"
2020,72093,Maricao,Puerto Rico,-66.95,18.175,1406.0,89.55,19.47,67.55,75.12,17.64,6.56,0.68,56.91,13.57,7.37,3.06,3.77,29.43,45.86,24.71,3.27,14.46,5.61,16.3,6.2038,16.661749999999998,0.9027865612648222,145.62082352941178,16119033,4128893,16579581,4128893,15724021,16579581,"rgb(254,230,206)","rgb(253,191,134)","rgb(253,157,83)","rgb(127,39,4)"
2020,72095,Maunabo,Puerto Rico,-65.9,18.01,2282.0,41.84,6.09,33.44,57.26,23.62,16.84,2.27,49.29,26.73,14.38,3.97,3.01,29.35,26.53,44.12,7.39,15.95,8.0,17.34,5.321366906474822,15.852150000000002,0.8493032786885245,137.3406611570248,11381714,4128893,13356003,14342891,16119033,4787846,"rgb(255,237,220.5)","rgb(255,237,220.5)","rgb(255,237,220.5)","rgb(166,54,3)"
2020,72097,Mayagüez,Puerto Rico,-67.11,18.21,18057.0,62.35,15.99,52.87,64.88,12.98,16.13,6.01,47.41,17.33,18.66,3.22,8.98,26.99,28.05,44.97,5.01,14.47,0.13,9.94,6.677833125778331,17.988479012345678,0.9490900606626226,144.3478466557912,9407425,15724021,14342891,7694254,15724021,11381714,"rgb(254,219,184)","rgb(166,54,3)","rgb(191,63,2)","rgb(127,39,4)"
2020,72099,Moca,Puerto Rico,-67.075,18.385,9988.0,86.38,24.69,43.93,64.96,13.52,17.16,4.36,55.53,17.87,15.48,3.77,5.84,30.97,29.85,39.18,4.95,4.24,0.43,22.56,7.101401872175599,17.097070481998358,0.933757225433526,128.11139009556905,15724021,12369372,15724021,6967715,6967715,16579581,"rgb(253,208,162)","rgb(247,123,39)","rgb(229,88,10)","rgb(241,105,19)"
2020,72101,Morovis,Puerto Rico,-66.415,18.325,9223.0,48.19,14.18,29.54,60.91,16.49,19.59,3.01,56.18,26.1,14.13,7.12,2.96,29.95,26.86,43.2,6.06,5.7,5.7,14.52,19.06256709265176,15.652259220231825,0.8660730847709145,130.8367473118279,15724021,11381714,13356003,11381714,8420794,6241433,"rgb(166,54,3)","rgb(255,237,220.5)","rgb(254,230,206)","rgb(229,88,10)"
2020,72103,Naguabo,Puerto Rico,-65.76,18.225,6720.0,66.07,6.73,39.95,67.75,18.45,12.04,1.76,50.1,18.11,16.5,0.0,5.28,35.06,25.05,39.89,7.05,12.39,5.26,23.0,9.744288913773795,16.446741479634248,0.894887983706721,122.58745011086476,11381714,7694254,9407425,14342891,13356003,14342891,"rgb(253,141,60)","rgb(253,208,162)","rgb(253,191,134)","rgb(253,174,107)"
2020,72105,Naranjito,Puerto Rico,-66.25,18.285,7217.0,53.19,14.36,34.99,61.48,14.41,20.65,3.46,54.7,30.31,14.01,0.0,2.99,24.55,28.14,47.31,4.82,7.84,4.51,4.51,9.42788778550149,16.892852584556476,0.8762023886378308,120.23783938814532,15000560,8420794,14342891,6967715,10394312,7694254,"rgb(253,157,83)","rgb(253,174,107)","rgb(254,219,184)","rgb(253,208,162)"
