YEAR,COUNTYFIPS,COUNTY,STATE,lon,lat,albumin_urine,color_albu_urine,bun,color_bun,creatinine_serum,color_crea_serum,creatinine_urine,color_crea_urine,ACS_PCT_INC50_ABOVE65,color_ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,color_ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,color_ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,color_ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,color_ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,color_ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_PUB_ASSIST,color_ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,color_ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,color_ACS_PCT_BACHELOR_DGR,ACS_PCT_GRADUATE_DGR,color_ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,color_ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,color_ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,color_ACS_PCT_POSTHS_ED,ACS_TOT_CIVIL_EMPLOY_POP,color_ACS_TOT_CIVIL_EMPLOY_POP,ACS_PCT_UNINSURED,color_ACS_PCT_UNINSURED,HIFLD_MIN_DIST_UC,color_HIFLD_MIN_DIST_UC,POS_MIN_DIST_ED,color_POS_MIN_DIST_ED,POS_MIN_DIST_ALC,color_POS_MIN_DIST_ALC,ACS_PCT_DISABLE,color_ACS_PCT_DISABLE,ACS_PCT_NONVET_DISABLE_18_64,color_ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_VET_DISABLE_18_64,color_ACS_PCT_VET_DISABLE_18_64,MMD_ANXIETY_DISD,color_MMD_ANXIETY_DISD,MMD_DEPR_DISD,color_MMD_DEPR_DISD
2020,72041,Cidra,Puerto Rico,-66.16,18.18,6.914688259109313,"rgb(253,208,162)",17.350244231093143,"rgb(241,105,19)",0.9141753786028334,"rgb(247,123,39)",115.26368700265252,"rgb(254,219,184)",17.32,13356003,27.56,5515151,59.69,7694254,16.24,11381714,17.99,11381714,6.08,14342891,41.41,6241433,21.58,9407425,16.71,12369372,7.7,15724021,31.26,12369372,22.76,7694254,45.99,13356003,11746.0,14342891,5.33,8420794,4.92,7694254,2.62,8420794,0.51,4128893,31.5,16579581,27.24,16579581,31.13,10394312,14.0,12369372.0,16.0,12369372.0
2020,72043,Coamo,Puerto Rico,-66.355,18.1,17.112465826466313,"rgb(191,63,2)",16.992150655021835,"rgb(253,141,60)",0.9144247389268996,"rgb(247,123,39)",140.97264462809918,"rgb(146,46,3)",15.23,11381714,37.58,10394312,60.23,8420794,15.68,9407425,19.3,13356003,4.79,12369372,48.1,10394312,19.0,5515151,16.3,11381714,4.68,8420794,38.94,16579581,21.08,5515151,39.98,6241433,11412.0,13356003,4.19,5515151,5.23,7694254,5.25,13356003,5.25,6241433,28.62,16119033,25.9,16579581,41.15,13356003,15.0,13356003.0,12.0,8420794.0
2020,72045,Comerío,Puerto Rico,-66.215,18.23,13.905932806324111,"rgb(217,72,1)",16.64585401459854,"rgb(253,208,162)",0.8738835877862596,"rgb(254,230,206)",120.97199999999998,"rgb(253,191,134)",25.58,16579581,40.79,13356003,70.0,16119033,16.04,10394312,12.53,4787846,1.43,4787846,57.83,16579581,31.48,16579581,11.87,4128893,2.61,4787846,25.03,5515151,29.01,15000560,45.96,13356003,5355.0,6241433,6.24,11381714,5.95,8420794,6.23,15724021,4.31,5515151,25.59,15000560,21.76,15000560,50.6,15724021,9.0,7694254.0,10.0,6967715.0
2020,72047,Corozal,Puerto Rico,-66.325,18.31,13.954053738317755,"rgb(217,72,1)",15.966686746987952,"rgb(254,230,206)",0.8695595238095238,"rgb(254,230,206)",124.52796833773088,"rgb(253,141,60)",21.92,15724021,41.99,13356003,63.06,12369372,14.79,8420794,20.13,14342891,2.02,4787846,56.67,16119033,23.57,13356003,15.88,9407425,5.02,9407425,27.05,6967715,28.48,15000560,44.47,11381714,8576.0,10394312,5.94,10394312,10.12,12369372,8.12,16119033,8.73,7694254,25.58,15000560,20.33,15000560,32.72,11381714,8.0,6967715.0,18.0,14342891.0
2020,72049,Culebra,Puerto Rico,-65.285,18.32,9.432666666666668,"rgb(253,157,83)",15.839448275862068,"rgb(255,237,220.5)",0.8434567901234569,"rgb(255,237,220.5)",112.448125,"rgb(254,230,206)",4.48,4128893,0.0,4128893,45.76,4787846,31.32,16579581,16.07,7694254,6.85,15000560,23.15,4128893,25.36,15000560,15.68,9407425,2.04,4128893,34.62,15000560,22.3,6967715,43.08,8420794,619.0,4128893,12.62,16579581,35.42,16579581,19.28,16579581,48.56,16579581,8.9,4128893,4.74,4128893,0.0,4787846,0.0,4128893.0,0.0,4128893.0
2020,72051,Dorado,Puerto Rico,-66.265,18.435,11.268057471264369,"rgb(229,88,10)",16.414730130486358,"rgb(253,208,162)",0.8799294661315822,"rgb(254,219,184)",120.9408545034642,"rgb(253,191,134)",13.53,8420794,24.82,4787846,44.54,4787846,12.28,4128893,25.87,16119033,17.31,16579581,33.56,4787846,21.96,10394312,20.9,16119033,10.26,16579581,27.76,7694254,19.11,5515151,53.12,15724021,11703.0,13356003,5.83,9407425,11.81,13356003,6.64,15724021,8.35,7694254,16.42,6241433,12.54,6241433,26.42,8420794,9.0,7694254.0,9.0,6241433.0
2020,72053,Fajardo,Puerto Rico,-65.675,18.32,10.399379844961242,"rgb(247,123,39)",17.542138157894737,"rgb(217,72,1)",0.893791569086651,"rgb(253,208,162)",133.22149346180316,"rgb(217,72,1)",11.48,6241433,43.61,14342891,60.12,8420794,17.06,13356003,17.81,11381714,5.01,13356003,43.27,6967715,20.33,7694254,21.23,16119033,6.35,13356003,33.36,15000560,18.73,5515151,47.91,15724021,9634.0,11381714,8.46,16119033,15.69,16119033,0.15,4787846,28.93,16119033,22.53,11381714,14.54,8420794,35.83,12369372,8.0,6967715.0,11.0,7694254.0
2020,72054,Florida,Puerto Rico,-66.56,18.37,0.0,"rgb(255,245,235)",0.0,"rgb(255,245,235)",0.0,"rgb(255,245,235)",0.0,"rgb(255,245,235)",8.88,4787846,49.43,16119033,67.73,15000560,13.29,6241433,17.16,9407425,1.82,4787846,55.6,15724021,26.43,15724021,12.97,4787846,3.12,5515151,34.84,15724021,22.65,7694254,42.51,7694254,3545.0,4787846,3.91,4787846,6.14,9407425,6.14,15000560,23.75,15724021,20.44,8420794,16.72,10394312,0.0,4787846,0.0,4128893.0,0.0,4128893.0
2020,72057,Guayama,Puerto Rico,-66.13,18.0,8.65595297932712,"rgb(253,191,134)",16.379907844718353,"rgb(254,219,184)",0.896488848011037,"rgb(253,191,134)",126.9974765100671,"rgb(247,123,39)",14.11,9407425,44.66,15000560,61.31,10394312,16.6,12369372,17.54,10394312,4.55,11381714,53.05,14342891,17.31,4787846,16.13,10394312,5.92,12369372,37.8,16119033,22.84,8420794,39.36,5515151,9543.0,11381714,6.29,11381714,12.77,15000560,0.13,4787846,10.36,9407425,24.04,13356003,36.05,13356003,62.92,16119033,9.0,7694254.0,12.0,8420794.0
2020,72059,Guayanilla,Puerto Rico,-66.79,18.04,12.503307692307692,"rgb(229,88,10)",17.96181781620752,"rgb(166,54,3)",0.9449758963543236,"rgb(217,72,1)",137.24718137254902,"rgb(166,54,3)",12.72,7694254,37.55,10394312,67.64,15000560,16.9,13356003,14.83,6241433,0.63,4128893,51.74,12369372,21.04,8420794,19.22,15000560,5.37,10394312,31.53,13356003,22.84,8420794,45.63,12369372,4481.0,5515151,3.56,4128893,0.48,4787846,3.77,10394312,11.03,9407425,13.96,6241433,18.52,5515151,69.15,16579581,12.0,10394312.0,12.0,8420794.0
